,code
0,sz000001
1,sz000002
2,sz000004
3,sz000005
4,sz000006
5,sz000007
6,sz000008
7,sz000009
8,sz000010
9,sz000011
10,sz000012
11,sz000014
12,sz000016
13,sz000017
14,sz000018
15,sz000019
16,sz000020
17,sz000021
18,sz000022
19,sz000023
20,sz000024
21,sz000025
22,sz000026
23,sz000027
24,sz000028
25,sz000029
26,sz000030
27,sz000031
28,sz000032
29,sz000033
30,sz000034
31,sz000035
32,sz000036
33,sz000037
34,sz000038
35,sz000039
36,sz000040
37,sz000042
38,sz000043
39,sz000045
40,sz000046
41,sz000048
42,sz000049
43,sz000050
44,sz000055
45,sz000056
46,sz000058
47,sz000059
48,sz000060
49,sz000061
50,sz000062
51,sz000063
52,sz000065
53,sz000066
54,sz000068
55,sz000069
56,sz000070
57,sz000078
58,sz000088
59,sz000089
60,sz000090
61,sz000096
62,sz000099
63,sz000100
64,sz000150
65,sz000151
66,sz000153
67,sz000155
68,sz000156
69,sz000157
70,sz000158
71,sz000159
72,sz000166
73,sz000301
74,sz000333
75,sz000338
76,sz000400
77,sz000401
78,sz000402
79,sz000403
80,sz000404
81,sz000406
82,sz000407
83,sz000408
84,sz000409
85,sz000410
86,sz000411
87,sz000413
88,sz000415
89,sz000416
90,sz000417
91,sz000418
92,sz000419
93,sz000420
94,sz000421
95,sz000422
96,sz000423
97,sz000425
98,sz000426
99,sz000428
100,sz000429
101,sz000430
102,sz000488
103,sz000498
104,sz000501
105,sz000502
106,sz000503
107,sz000504
108,sz000505
109,sz000506
110,sz000507
111,sz000509
112,sz000510
113,sz000511
114,sz000513
115,sz000514
116,sz000515
117,sz000516
118,sz000517
119,sz000518
120,sz000519
121,sz000520
122,sz000521
123,sz000522
124,sz000523
125,sz000524
126,sz000525
127,sz000526
128,sz000527
129,sz000528
130,sz000529
131,sz000530
132,sz000531
133,sz000532
134,sz000533
135,sz000534
136,sz000535
137,sz000536
138,sz000537
139,sz000538
140,sz000539
141,sz000540
142,sz000541
143,sz000543
144,sz000544
145,sz000545
146,sz000546
147,sz000547
148,sz000548
149,sz000549
150,sz000550
151,sz000551
152,sz000552
153,sz000553
154,sz000554
155,sz000555
156,sz000557
157,sz000558
158,sz000559
159,sz000560
160,sz000561
161,sz000562
162,sz000563
163,sz000564
164,sz000565
165,sz000566
166,sz000567
167,sz000568
168,sz000569
169,sz000570
170,sz000571
171,sz000572
172,sz000573
173,sz000576
174,sz000578
175,sz000581
176,sz000582
177,sz000583
178,sz000584
179,sz000585
180,sz000586
181,sz000587
182,sz000589
183,sz000590
184,sz000591
185,sz000592
186,sz000593
187,sz000594
188,sz000595
189,sz000596
190,sz000597
191,sz000598
192,sz000599
193,sz000600
194,sz000601
195,sz000602
196,sz000603
197,sz000605
198,sz000606
199,sz000607
200,sz000608
201,sz000609
202,sz000610
203,sz000611
204,sz000612
205,sz000613
206,sz000615
207,sz000616
208,sz000617
209,sz000618
210,sz000619
211,sz000620
212,sz000622
213,sz000623
214,sz000625
215,sz000626
216,sz000627
217,sz000628
218,sz000629
219,sz000630
220,sz000631
221,sz000632
222,sz000633
223,sz000635
224,sz000636
225,sz000637
226,sz000638
227,sz000639
228,sz000650
229,sz000651
230,sz000652
231,sz000655
232,sz000656
233,sz000657
234,sz000659
