,code
0,sz000001
1,sz000002
2,sz000063
3,sz000069
4,sz000100
5,sz000157
6,sz000166
7,sz000333
8,sz000338
9,sz000402
10,sz000408
11,sz000413
12,sz000415
13,sz000423
14,sz000425
15,sz000538
16,sz000553
17,sz000568
18,sz000596
19,sz000625
20,sz000627
21,sz000629
22,sz000630
23,sz000651
24,sz000656
25,sz000661
26,sz000671
27,sz000703
28,sz000709
29,sz000725
30,sz000728
31,sz000768
32,sz000776
33,sz000783
34,sz000786
35,sz000858
36,sz000876
37,sz000895
38,sz000898
39,sz000938
40,sz000961
41,sz000963
42,sz001979
43,sz002001
44,sz002007
45,sz002008
46,sz002010
47,sz002024
48,sz002027
49,sz002032
50,sz002044
51,sz002050
52,sz002065
53,sz002081
54,sz002120
55,sz002142
56,sz002146
57,sz002153
58,sz002179
59,sz002202
60,sz002230
61,sz002236
62,sz002241
63,sz002252
64,sz002271
65,sz002294
66,sz002304
67,sz002310
68,sz002311
69,sz002352
70,sz002410
71,sz002411
72,sz002415
73,sz002422
74,sz002456
75,sz002460
76,sz002466
77,sz002468
78,sz002475
79,sz002493
80,sz002508
81,sz002555
82,sz002558
83,sz002594
84,sz002601
85,sz002602
86,sz002624
87,sz002625
88,sz002673
89,sz002714
90,sz002736
91,sz002739
92,sz002773
93,sz002925
94,sz002938
95,sz002939
96,sz002945
97,sz300003
98,sz300015
99,sz300017
100,sz300024
101,sz300033
102,sz300059
103,sz300070
104,sz300072
105,sz300122
106,sz300124
107,sz300136
108,sz300142
109,sz300144
110,sz300251
111,sz300296
112,sz300408
113,sz300413
114,sz300433
115,sz300498
116,sh600000
117,sh600004
118,sh600009
119,sh600010
120,sh600011
121,sh600015
122,sh600016
123,sh600018
124,sh600019
125,sh600023
126,sh600025
127,sh600027
128,sh600028
129,sh600029
130,sh600030
131,sh600031
132,sh600036
133,sh600038
134,sh600048
135,sh600050
136,sh600061
137,sh600066
138,sh600068
139,sh600085
140,sh600089
141,sh600100
142,sh600104
143,sh600109
144,sh600111
145,sh600115
146,sh600118
147,sh600153
148,sh600170
149,sh600176
150,sh600177
151,sh600188
152,sh600196
153,sh600208
154,sh600219
155,sh600221
156,sh600233
157,sh600271
158,sh600276
159,sh600297
160,sh600299
161,sh600309
162,sh600332
163,sh600339
164,sh600340
165,sh600346
166,sh600352
167,sh600362
168,sh600369
169,sh600372
170,sh600383
171,sh600390
172,sh600398
173,sh600406
174,sh600415
175,sh600436
176,sh600438
177,sh600482
178,sh600487
179,sh600489
180,sh600498
181,sh600516
182,sh600519
183,sh600522
184,sh600535
185,sh600547
186,sh600566
187,sh600570
188,sh600583
189,sh600585
190,sh600588
191,sh600606
192,sh600637
193,sh600660
194,sh600663
195,sh600674
196,sh600688
197,sh600690
198,sh600703
199,sh600704
200,sh600705
201,sh600733
202,sh600741
203,sh600760
204,sh600795
205,sh600809
206,sh600816
207,sh600837
208,sh600867
209,sh600886
210,sh600887
211,sh600893
212,sh600900
213,sh600919
214,sh600926
215,sh600958
216,sh600977
217,sh600998
218,sh600999
219,sh601006
220,sh601009
221,sh601012
222,sh601018
223,sh601021
224,sh601066
225,sh601088
226,sh601108
227,sh601111
228,sh601117
229,sh601138
230,sh601155
231,sh601162
232,sh601166
233,sh601169
234,sh601186
235,sh601198
236,sh601211
237,sh601212
238,sh601216
239,sh601225
240,sh601228
241,sh601229
242,sh601238
243,sh601288
244,sh601298
245,sh601318
246,sh601319
247,sh601328
248,sh601336
249,sh601360
250,sh601377
251,sh601390
252,sh601398
253,sh601555
254,sh601577
255,sh601600
256,sh601601
257,sh601607
258,sh601618
259,sh601628
260,sh601633
261,sh601668
262,sh601669
263,sh601688
264,sh601727
265,sh601766
266,sh601788
267,sh601800
268,sh601808
269,sh601818
270,sh601828
271,sh601838
272,sh601857
273,sh601877
274,sh601878
275,sh601881
276,sh601888
277,sh601898
278,sh601899
279,sh601901
280,sh601919
281,sh601933
282,sh601939
283,sh601985
284,sh601988
285,sh601989
286,sh601992
287,sh601997
288,sh601998
289,sh603019
290,sh603156
291,sh603160
292,sh603259
293,sh603260
294,sh603288
295,sh603799
296,sh603833
297,sh603858
298,sh603986
299,sh603993
